Component,Origin,License
go.sum,cloud.google.com/go,Apache-2.0
go.sum,github.com/davecgh/go-spew,ISC
go.sum,github.com/dnaeon/go-vcr,BSD-2-Clause
go.sum,github.com/golang/protobuf,BSD-3-Clause
go.sum,github.com/google/go-cmp,BSD-3-Clause
go.sum,github.com/h2non/parth,MIT
go.sum,github.com/jonboulle/clockwork,Apache-2.0
go.sum,github.com/nbio/st,Apache-2.0
go.sum,github.com/pkg/errors,BSD-2-Clause
go.sum,github.com/pmezard/go-difflib,BSD-3-Clause
go.sum,github.com/stretchr/objx,MIT
go.sum,github.com/stretchr/testify,MIT
go.sum,golang.org/x/net,BSD-3-Clause
go.sum,golang.org/x/oauth2,BSD-3-Clause
go.sum,golang.org/x/sync,BSD-3-Clause
go.sum,golang.org/x/text,BSD-3-Clause
go.sum,golang.org/x/xerrors,BSD-3-Clause
go.sum,google.golang.org/appengine,Apache-2.0
go.sum,gopkg.in/check.v1,BSD-2-Clause
go.sum,gopkg.in/h2non/gock.v1,MIT
go.sum,gopkg.in/yaml.v2,Apache-2.0
go.sum,gotest.tools,Apache-2.0
